"","var","rel.inf"
"SDF4","SDF4",0
"GNAI1","GNAI1",0
"RASGEF1B","RASGEF1B",0
"ARHGEF4","ARHGEF4",0
"TBL1XR1","TBL1XR1",0
"CMTM4","CMTM4",0
"RNPEP","RNPEP",0
"CANT1","CANT1",0
"CXorf39","CXorf39",0
"TSLP","TSLP",0
"GRRP1","GRRP1",0
"RARRES1","RARRES1",0
"CD200R1","CD200R1",0
"RPL31","RPL31",0
"KDELR2","KDELR2",0
"ARHGAP24","ARHGAP24",0
"NCOA7","NCOA7",0
"HIST1H3J","HIST1H3J",0
"HEPACAM","HEPACAM",0
"ZAP70","ZAP70",0
"NMB","NMB",0
"CHRDL1","CHRDL1",0
"CD300C","CD300C",0
"RENBP","RENBP",0
"ATXN7L1","ATXN7L1",0
"ITIH5","ITIH5",0
"YBX2","YBX2",0
"LYPLA1","LYPLA1",0
"FAT2","FAT2",0
"LPXN","LPXN",0
"RDH5","RDH5",0
"PLAGL1","PLAGL1",0
"KLF6","KLF6",0
"ABCD2","ABCD2",0
"CD226","CD226",0
"CAP1","CAP1",0
"EGFLAM","EGFLAM",0
"MT1X","MT1X",0
"SPAG4","SPAG4",0
"TMEM100","TMEM100",0
"P4HA2","P4HA2",0
"CAPN13","CAPN13",0
"C19orf12","C19orf12",0
"KLK5","KLK5",0
"RASD1","RASD1",0
"MGC102966","MGC102966",0
"CDKN1C","CDKN1C",0
"HSPH1","HSPH1",0
"COL17A1","COL17A1",0
"IFNGR1","IFNGR1",0
"RNF186","RNF186",0
"KCNB1","KCNB1",0
"HSD11B1","HSD11B1",0
"CFP","CFP",0
"MFNG","MFNG",0
"TRIM59","TRIM59",0
"SIGLEC7","SIGLEC7",0
"NTF5","NTF5",0
"SFRP1","SFRP1",0
"LRIG2","LRIG2",0
"SCN9A","SCN9A",0
"BIRC3","BIRC3",0
"SKIP","SKIP",0
"C16orf54","C16orf54",0
"GOT1","GOT1",0
"MGC13057","MGC13057",0
"ATOH8","ATOH8",0
"C6orf126","C6orf126",0
"RGL1","RGL1",0
"HSPA8","HSPA8",0
"CARD14","CARD14",0
"TDRD10","TDRD10",0
"NGFR","NGFR",0
"ATP8B4","ATP8B4",0
"EAF1","EAF1",0
"S100B","S100B",0
"RGS18","RGS18",0
"GFRA2","GFRA2",0
"FGFBP1","FGFBP1",0
"HAS3","HAS3",0
"LIMS3","LIMS3",0
"RPS6","RPS6",0
"C1QL2","C1QL2",0
"LYVE1","LYVE1",0
"STAR","STAR",0
"DNAL1","DNAL1",0
"CLEC10A","CLEC10A",0
"BACH2","BACH2",0
"C2orf40","C2orf40",0
"CENTB1","CENTB1",0
"BTLA","BTLA",0
"RHOXF1","RHOXF1",0
"ODF3","ODF3",0
"NLRP3","NLRP3",0
"PROK2","PROK2",0
"LOC129293","LOC129293",0
"MFAP3","MFAP3",0
"MYEF2","MYEF2",0
"RASGRP2","RASGRP2",0
"CAPN9","CAPN9",0
"NAGA","NAGA",0
"GRLF1","GRLF1",0
"PIM1","PIM1",0
"SLC19A3","SLC19A3",0
"STAC2","STAC2",0
"ADRB2","ADRB2",0
"LOC728131","LOC728131",0
"PDE2A","PDE2A",0
"NSF","NSF",0
"CLCA4","CLCA4",0
"INHBA","INHBA",0
"ALDH3A1","ALDH3A1",0
"RIBC2","RIBC2",0
"AFAR3","AFAR3",0
"TMEM71","TMEM71",0
"SORD","SORD",0
"APOBEC3C","APOBEC3C",0
"LILRB5","LILRB5",0
"BAI2","BAI2",0
"RBBP5","RBBP5",0
"APOA1BP","APOA1BP",0
"L3MBTL3","L3MBTL3",0
"MIF","MIF",0
"PRO0132","PRO0132",0
"SAA2","SAA2",0
"CLIC2","CLIC2",0
"CD69","CD69",0
"GEM","GEM",0
