"","number","idx","exp","MSE"
"PFDN1",13726,397,0.973062499999998,1883866.6034499
"FLJ21062",1105,368,1.728,1883906.5184575
"GRSF1",5723,251,0.129625,1883920.20583073
"SNAP23",12588,32,-1.15175,1883928.13351386
"SCOC",5551,20,-0.833749999999999,1883928.39359331
"C19orf58",4864,391,0.746649999999997,1883949.68511047
"VASH2",15725,394,0.910625,1883965.16742165
"C1RL",6571,183,1.03591666666667,1883977.93408946
"TP63",8701,156,0.695107142857143,1883980.33454074
"AP2M1",12207,27,-1.31933333333333,1884007.08608164
"SASP",9935,86,-0.585,1884050.81652244
"OSMR",14208,190,-0.852392857142857,1884077.40218919
"PPA2",11690,189,0.0429999999999998,1884104.51341724
"CD82",154,303,1.431375,1884181.17197084
"MYRIP",12802,29,-0.988090909090915,1884215.96746066
"C12orf23",9717,37,-0.140187500000001,1884247.98844678
"LETM1",14244,281,-0.395875,1884288.31923697
"IFNGR1",10636,182,1.15325,1884288.5944542
"SLC7A13",2795,22,-0.105624999999999,1884330.1234086
"CYTL1",12578,54,-3.831125,1884337.38789951
"STT3B",3275,59,-1.15,1884343.30733819
"ANXA3",4466,110,-1.226875,1884382.55754559
"GPRIN2",4771,123,0.423000000000003,1884404.63893374
"MIA",11324,182,-2.223875,1884458.82956785
"OR3A3",14719,29,0.0455000000000004,1884468.91261821
"MORF4L1",3194,26,-1.24685,1884469.03270869
"FAM133B",5635,354,0.116285714285715,1884484.23117633
"TEGT",16039,50,-0.130349999999999,1884520.27911506
"TAAR8",9746,360,0.886500000000001,1884536.0111457
"MPST",4372,255,0.2505,1884569.92434585
"MAOB",14671,119,0.828041666666667,1884603.45364151
"ELMO2",1,32,-0.453375000000001,1884630.32062639
"COX6B2",10588,392,0.937625000000003,1884728.45066342
"CARS",11095,108,-0.728333333333333,1884777.78461776
"C12orf31",15044,102,-0.652750000000001,1884807.49576972
"LOC402164",16372,377,0.686625,1884809.30028758
"CCNI",8764,21,-0.111749999999999,1884810.93240462
"LOC728131",12381,288,0.397749999999999,1884848.06379774
"RPS7",8538,261,-0.49225,1884978.57139484
"NTRK3",16681,235,0.985583333333332,1884993.63567262
