"","mutO","mutX","MSE"
"RELN",13,391,1451686.7444968
"KRT79",2,402,1451688.16406212
"KRT3",3,401,1451691.33829617
"RNF10",3,401,1451691.33829617
"BEND3",1,403,1451691.70239294
"FAM192A",1,403,1451691.70239294
"GLRB",1,403,1451691.70239294
"UPK2",1,403,1451691.70239294
"ZNF157",1,403,1451691.70239294
"ALG13",2,402,1451697.18507093
"NT5DC3",2,402,1451697.18507093
"SMAP1",2,402,1451697.18507093
"SLC22A6",2,402,1451697.18507093
"OR4S2",2,402,1451697.18507093
"DACH1",2,402,1451697.18507093
"IMPA2",2,402,1451697.18507093
"ZNF317",2,402,1451697.18507093
"ME2",2,402,1451697.18507093
"SLC36A1",2,402,1451697.18507093
"PTPN3",2,402,1451697.18507093
"RHOBTB2",2,402,1451697.18507093
"ARMCX3",2,402,1451697.18507093
"RUFY2",2,402,1451697.18507093
"TTLL2",2,402,1451697.18507093
"ZSCAN1",2,402,1451697.18507093
"CIAPIN1",2,402,1451697.18507093
"FAF1",2,402,1451697.18507093
"GPR111",2,402,1451697.18507093
"PRPF40B",2,402,1451697.18507093
"TSPYL5",2,402,1451697.18507093
"VPS16",2,402,1451697.18507093
"EML3",2,402,1451697.18507093
"OR5D18",2,402,1451697.18507093
"SEPHS2",2,402,1451697.18507093
"STT3B",2,402,1451697.18507093
"TESPA1",2,402,1451697.18507093
"PATL1",2,402,1451697.18507093
"ANXA1",2,402,1451697.18507093
"CYLC2",2,402,1451697.18507093
"MAP1B",2,402,1451697.18507093
"SPNS1",2,402,1451697.18507093
"GSK3B",2,402,1451697.18507093
"CCBP2",2,402,1451697.18507093
"TCEANC",2,402,1451697.18507093
"PPIB",2,402,1451697.18507093
"GZMA",2,402,1451697.18507093
"GNL3L",2,402,1451697.18507093
"TUBB1",2,402,1451697.18507093
"TMPO",2,402,1451697.18507093
"RNF8",2,402,1451697.18507093
"C14orf93",2,402,1451697.18507093
"ZBP1",2,402,1451697.18507093
"DPYD",2,402,1451697.18507093
"DHRS11",2,402,1451697.18507093
"OR10G7",2,402,1451697.18507093
"ZNF582",2,402,1451697.18507093
"JAKMIP2",2,402,1451697.18507093
"ADK",2,402,1451697.18507093
"CPEB3",2,402,1451697.18507093
"TXN2",2,402,1451697.18507093
"KRT10",2,402,1451697.18507093
"FUT8",2,402,1451697.18507093
"CHUK",2,402,1451697.18507093
"TMF1",2,402,1451697.18507093
"ZNF501",2,402,1451697.18507093
"KIAA0317",2,402,1451697.18507093
"TRIM69",2,402,1451697.18507093
"EYA3",2,402,1451697.18507093
"SLC5A1",2,402,1451697.18507093
"NRF1",2,402,1451697.18507093
"PCNXL4",2,402,1451697.18507093
"ZNF835",2,402,1451697.18507093
"TMC1",2,402,1451697.18507093
"HBS1L",2,402,1451697.18507093
"KDM1A",2,402,1451697.18507093
"KLKB1",2,402,1451697.18507093
"MRAS",2,402,1451697.18507093
"NPHP3",2,402,1451697.18507093
"OSBPL6",2,402,1451697.18507093
"PPP1R3C",2,402,1451697.18507093
"SHOC2",2,402,1451697.18507093
"TRIM4",2,402,1451697.18507093
"SLC39A10",2,402,1451697.18507093
"MRPL16",2,402,1451697.18507093
"CD99L2",2,402,1451697.18507093
"PTBP2",2,402,1451697.18507093
"TCL6",2,402,1451697.18507093
"ADTRP",2,402,1451697.18507093
"ALS2CR12",2,402,1451697.18507093
"AMACR",2,402,1451697.18507093
"ARNT2",2,402,1451697.18507093
"BPIFA3",2,402,1451697.18507093
"C16orf70",2,402,1451697.18507093
"C9orf24",2,402,1451697.18507093
"CCKAR",2,402,1451697.18507093
"CDC42EP3",2,402,1451697.18507093
"CSGALNACT2",2,402,1451697.18507093
"DEFB108B",2,402,1451697.18507093
"DMRT2",2,402,1451697.18507093
"DUSP11",2,402,1451697.18507093
"ERMN",2,402,1451697.18507093
"FAM122A",2,402,1451697.18507093
"GABRR1",2,402,1451697.18507093
"GTF2E1",2,402,1451697.18507093
"HAVCR2",2,402,1451697.18507093
"IGHV3-74",2,402,1451697.18507093
"KEL",2,402,1451697.18507093
"METTL21B",2,402,1451697.18507093
"MRO",2,402,1451697.18507093
"N6AMT1",2,402,1451697.18507093
"OR1L3",2,402,1451697.18507093
"OR6M1",2,402,1451697.18507093
